e15,e16,e17,e18,e19,e20,pattern_count,q110,q41_rank,q41_selected,x28_nonpaired_sets,x28_cap,x175_rank,x175_selected
17,7,0,0,0,0,26943488000,0,,0,6973199451020,187882315730163957760000,1269,0
18,7,0,0,0,0,296378368000,0,,0,2818952982550,835476684436901478400000,1357,0
19,7,0,0,0,0,2489578291200,0,,0,1103068565130,2746175553452781305856000,1403,0
20,7,0,0,0,0,16597188608000,0,,0,416714794286,6916294036508662693888000,1453,0
21,7,0,0,0,0,90099023872000,0,,0,151532653636,13652944177337471598592000,1476,0
22,7,0,0,0,0,405445607424000,0,,0,52860228400,21431947412209375641600000,1494,0
23,7,0,0,0,0,1531683405824000,0,,0,17620076240,26988378386161740021760000,1504,0
24,7,0,0,0,0,4901386898636800,0,,0,5586853465,27383330377954609856512000,1505,0
25,7,0,0,0,0,13367418814464000,0,,0,1676056043,22404543083294283005952000,1496,0
26,7,0,0,0,0,31190643900416000,0,,0,472733756,14744870243102145642496000,1482,0
27,7,0,0,0,0,62381287800832000,0,,0,124403620,7760458022685339811840000,1456,0
28,7,0,0,0,0,106939350515712000,0,,0,30260340,3236021105984620462080000,1414,0
29,7,0,0,0,0,156844380756377600,0,,0,6724520,1054703175283876298752000,1368,0
30,7,0,0,0,0,196055475945472000,0,,0,1344904,263675793820969074688000,1292,0
31,7,0,0,0,0,207588151001088000,0,,0,237336,49268141405994221568000,1181,0
32,7,0,0,0,0,184522800889856000,0,54,0,35960,6635439919999221760000,1045,0
16,8,0,0,0,0,3294720,0,,0,16735677488640,55139371335371980800,738,0
17,8,0,0,0,0,158146560,0,,0,6973198953600,1102787426707439616000,920,0
18,8,0,0,0,0,3637370880,0,,0,2818952779060,10253576750647917772800,1071,0
19,8,0,0,0,0,53348106240,0,,0,1103068487610,58846614867014403686400,1200,0
20,8,0,0,0,0,560155115520,0,,0,416714767154,233424908534038771630080,1282,0
21,8,0,0,0,0,4481240924160,0,,0,151532645068,679054290424933586042880,1345,0
22,8,0,0,0,0,28381192519680,0,,0,52860226020,1500236251307418098073600,1383,0
23,8,0,0,0,0,145960418672640,0,,0,17620075680,2571833623296401945395200,1401,0
24,8,0,0,0,0,620331779358720,0,,0,5586853360,3465702685825043477299200,1418,0
25,8,0,0,0,0,2205624104386560,0,,0,1676056029,3696749577864819234570240,1422,0
26,8,0,0,0,0,6616872313159680,0,,0,472733755,3128018894955511440998400,1412,0
27,8,0,0,0,0,16842947706224640,0,,0,124403620,2095323666125041749196800,1395,0
28,8,0,0,0,0,36493053363486720,0,,0,30260340,1104292202417251732684800,1371,0
29,8,0,0,0,0,67371790824898560,0,,0,6724520,453042954837846864691200,1325,0
30,8,0,0,0,0,105869957010554880,0,,0,1344904,142384928663323300331520,1254,0
31,8,0,0,0,0,141159942680739840,0,,0,237336,33502336156076070666240,1155,0
32,8,0,0,0,0,158804935515832320,0,52,0,35960,5710625481149330227200,1035,0
18,9,0,0,0,0,5857280,0,,0,2818952281640,16511392820204339200,665,0
19,9,0,0,0,0,269434880,0,,0,1103068284120,297205070763678105600,830,0
20,9,0,0,0,0,5927567360,0,,0,416714689634,2470104392707028746240,975,0
21,9,0,0,0,0,82985943040,0,,0,151532617936,12575077200738978365440,1081,0
22,9,0,0,0,0,829859430400,0,,0,52860217452,43866549945536859340800,1175,0
23,9,0,0,0,0,6306931671040,0,,0,17620073300,111128598341816287232000,1238,0
24,9,0,0,0,0,37841590026240,0,,0,5586852800,211415393194551017472000,1275,0
25,9,0,0,0,0,183802008698880,0,,0,1676055924,308062445522857356165120,1302,0
26,9,0,0,0,0,735208034795520,0,,0,472733741,347557644702144339640320,1306,0
27,9,0,0,0,0,2450693449318400,0,,0,124403619,304875134154802043289600,1301,0
28,9,0,0,0,0,6861941658091520,0,,0,30260340,207644687634013146316800,1274,0
29,9,0,0,0,0,16219134828216320,0,,0,6724520,109065896535037208166400,1235,0
30,9,0,0,0,0,32438269656432640,0,,0,1344904,43626358614014883266560,1173,0
